Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J8,SW_A,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,176.4,-85.3,0,bottom
J10,SW_B,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,165.2,-85.3,0,bottom
J12,SW_C,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,154,-85.3,0,bottom
J14,SW_D,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,142.8,-85.3,0,bottom
C1,100n,C_0402_1005Metric,181.8,-101.5,90,top
C2,100n,C_0402_1005Metric,159.8,-101.4,90,top
C3,100n,C_0402_1005Metric,131,-92.7,180,top
C4,10n,C_0402_1005Metric,122,-93.4,270,top
C5,10n,C_0402_1005Metric,122,-95.4,270,top
C6,10n,C_0402_1005Metric,122,-101.4,270,top
C7,10n,C_0402_1005Metric,121,-103.4,270,top
C8,10n,C_0402_1005Metric,121,-91.4,90,top
C9,10n,C_0402_1005Metric,122,-99.4,90,top
C10,100n,C_0402_1005Metric,152,-92.6,270,top
C11,100n,C_0402_1005Metric,177,-92,270,top
C12,100n,C_0402_1005Metric,156,-92.6,270,top
C13,100n,C_0402_1005Metric,140.8,-92.6,270,top
C14,100n,C_0402_1005Metric,165.8,-92,270,top
C15,100n,C_0402_1005Metric,144.8,-92.6,270,top
C16,100n,C_0402_1005Metric,163.2,-92.6,270,top
C17,100n,C_0402_1005Metric,154.4,-92.2,270,top
C18,100n,C_0402_1005Metric,167.2,-92.6,270,top
C19,100n,C_0402_1005Metric,174.4,-92.6,270,top
C20,100n,C_0402_1005Metric,143.4,-92.2,270,top
C21,100n,C_0402_1005Metric,178.4,-92.6,270,top
C22,10n,C_0402_1005Metric,178.9,-118.5,90,top
C23,10n,C_0402_1005Metric,174.9,-118.5,90,top
C24,10n,C_0402_1005Metric,170.9,-118.5,90,top
C25,10n,C_0402_1005Metric,166.9,-118.5,90,top
C26,100n,C_0402_1005Metric,143.6,-106,270,top
C27,100n,C_0402_1005Metric,137,-123.1,90,top
C28,100n,C_0402_1005Metric,133,-87.5,180,top
C29,100n,C_0402_1005Metric,153.1,-123.6,270,top
C30,100n,C_0402_1005Metric,141.9,-112.02,90,top
C31,100n,C_0402_1005Metric,156.5,-123.6,270,top
C32,100n,C_0402_1005Metric,126,-87.5,180,top
C33,100n,C_0402_1005Metric,146.2,-113.4,90,top
C34,10uF,C_0805_2012Metric,179.3,-111.9,90,top
C35,100n,C_0402_1005Metric,179.3,-114.2,180,top
C36,1uF,C_0805_2012Metric,127.5,-122.5,270,top
C37,100n,C_0402_1005Metric,125.9,-122.5,270,top
C38,4.7uF,C_0805_2012Metric,120,-113.75,90,top
C40,100n,C_0402_1005Metric,120,-117.25,0,top
C41,1uF,C_0805_2012Metric,123.95,-116.1,0,top
C44,1uF,C_0805_2012Metric,123.95,-112.6,180,top
C47,100n,C_0402_1005Metric,123.95,-110.85,180,top
C50,100n,C_0402_1005Metric,185.6,-113.5,270,top
C52,2.2uF,C_0805_2012Metric,154.8,-104.3,0,top
C53,1.5pF,C_0402_1005Metric,151.4,-127.4,90,top
C54,1.5pF,C_0402_1005Metric,158.6,-127.4,90,top
C55,100n,C_0402_1005Metric,154.8,-105.9,180,top
C56,100n,C_0402_1005Metric,164.2,-112.5,270,top
C57,100n,C_0402_1005Metric,161.9,-118.8,135,top
C58,100n,C_0402_1005Metric,188.3,-120.7,0,top
C59,10uF,C_0805_2012Metric,188.3,-123,270,top
D1,LED_PGD,LED_0402_1005Metric,113.1,-120.4,270,top
D2,LED_CHG,LED_0402_1005Metric,112,-120.4,270,top
D3,STATUS_LED,LED_0603_1608Metric,150.9,-104.3,180,top
D4,DBG_LED_2,LED_0603_1608Metric,208.0125,-99,180,top
D5,DBG_LED_1,LED_0603_1608Metric,208,-101,180,top
D6,DBG_LED_0,LED_0603_1608Metric,208,-103,180,top
D7,BT_ON,LED_0603_1608Metric,188.3,-126.4875,270,top
D8,LED_5V0,LED_0402_1005Metric,133.9,-120.3,180,top
D9,LED_3V3,LED_0402_1005Metric,133.9,-119.1,180,top
J3,ExtBatt,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,115,-113.75,90,top
J4,Conn_ARM_JTAG_SWD_10,PinHeader_2x05_P1.27mm_Vertical_SMD,146.9,-125.7,90,top
J5,EncoderConn,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,115.3,-98.4,270,top
J6,JoystickConn,JST_PH_S8B-PH-SM4-TB_1x08-1MP_P2.00mm_Horizontal,172.9,-124.7,0,top
J7,PTrim,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,154,-85.3,180,top
J9,RTrim,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,142.8,-85.3,180,top
J11,YTrim,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,165.2,-85.3,180,top
J13,TTrim,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,176.4,-85.3,180,top
Q1,MMBT3904,SOT-23,207,-118.9,0,top
Q2,2N7002,SOT-23,185.6,-122.9,270,top
Q3,2N7002,SOT-23,182.25,-112,90,top
Q4,LBSS84LT1G,SOT-23,185.6,-126.4,270,top
Q5,LBSS84LT1G,SOT-23,182.2,-108.6,90,top
R1,10k,R_0402_1005Metric,130.9,-104.3,180,top
R2,10k,R_0402_1005Metric,185.6,-97.9,0,top
R3,1k,R_0402_1005Metric,123.6,-93.7,0,top
R4,1k,R_0402_1005Metric,123.6,-94.8,0,top
R5,1k,R_0402_1005Metric,123.6,-101.9,0,top
R6,1k,R_0402_1005Metric,123.6,-103,0,top
R7,10k,R_0402_1005Metric,121,-93.4,270,top
R8,10k,R_0402_1005Metric,121,-95.4,270,top
R9,10k,R_0402_1005Metric,121,-101.4,270,top
R10,10k,R_0402_1005Metric,122,-103.4,270,top
R11,10k,R_0402_1005Metric,122,-91.4,270,top
R12,10k,R_0402_1005Metric,121,-99.4,270,top
R13,1k,R_0402_1005Metric,123.6,-91.9,180,top
R14,1k,R_0402_1005Metric,123.6,-99.9,180,top
R15,10k,R_0402_1005Metric,149.4,-92,0,top
R16,1k,R_0402_1005Metric,176,-92,270,top
R17,10k,R_0402_1005Metric,158.6,-92,180,top
R18,1k,R_0402_1005Metric,151,-92.6,90,top
R19,1k,R_0402_1005Metric,157,-92.6,270,top
R20,10k,R_0402_1005Metric,171.8,-91,0,top
R21,1k,R_0402_1005Metric,164.8,-92,270,top
R22,10k,R_0402_1005Metric,138.2,-92,0,top
R23,10k,R_0402_1005Metric,147.4,-92,180,top
R24,10k,R_0402_1005Metric,160.6,-91,0,top
R25,1k,R_0402_1005Metric,139.8,-92.6,90,top
R26,1k,R_0402_1005Metric,145.8,-92.6,270,top
R27,1k,R_0402_1005Metric,153.4,-92.2,270,top
R28,10k,R_0402_1005Metric,160.6,-92,0,top
R29,10k,R_0402_1005Metric,169.8,-92,180,top
R30,10k,R_0402_1005Metric,149.4,-91,0,top
R31,1k,R_0402_1005Metric,162.2,-92.6,90,top
R32,1k,R_0402_1005Metric,168.2,-92.6,270,top
R33,1k,R_0402_1005Metric,142.4,-92.2,270,top
R34,10k,R_0402_1005Metric,171.8,-92,0,top
R35,10k,R_0402_1005Metric,181,-92,180,top
R36,10k,R_0402_1005Metric,138.2,-91,0,top
R37,1k,R_0402_1005Metric,173.4,-92.6,90,top
R38,1k,R_0402_1005Metric,179.4,-92.6,270,top
R39,1k,R_0402_1005Metric,177.9,-118.5,270,top
R40,1k,R_0402_1005Metric,175.9,-118.5,90,top
R41,1k,R_0402_1005Metric,169.9,-118.5,270,top
R42,1k,R_0402_1005Metric,167.9,-118.5,90,top
R43,100,R_0402_1005Metric,204,-120.1,180,top
R44,1k,R_0402_1005Metric,204,-118.9,180,top
R45,10k,R_0402_1005Metric,185.6,-95.7,0,top
R46,10k,R_0402_1005Metric,185.6,-94.6,0,top
R47,10k,R_0402_1005Metric,185.6,-99,0,top
R48,1k,R_0402_1005Metric,133,-88.6,0,top
R49,10k,R_0402_1005Metric,185.6,-96.8,0,top
R50,10k,R_0402_1005Metric,131,-87.5,0,top
R51,10k,R_0402_1005Metric,185.6,-100.2,0,top
R52,33,R_0402_1005Metric,145.7,-110.7,0,top
R53,10k,R_0402_1005Metric,136.7,-112,90,top
R54,33,R_0402_1005Metric,145.7,-111.8,0,top
R55,1k,R_0402_1005Metric,126,-88.6,0,top
R56,10k,R_0402_1005Metric,185.6,-120.7,180,top
R57,10k,R_0402_1005Metric,124,-87.5,0,top
R58,10k,R_0402_1005Metric,182.2,-114.2,0,top
R59,10k,R_0402_1005Metric,185.7,-128.8,0,top
R60,1.5k,R_0402_1005Metric,131.9,-120.3,180,top
R61,10k,R_0402_1005Metric,136.5,-128.6,180,top
R62,10k,R_0402_1005Metric,136.5,-126.6,0,top
R63,330,R_0402_1005Metric,131.9,-119.1,180,top
R64,10k,R_0402_1005Metric,140.3,-103.6,270,top
R65,10k,R_0402_1005Metric,162.9,-117.7,135,top
R66,10k,R_0402_1005Metric,136.5,-127.6,0,top
R67,10k,R_0402_1005Metric,138.1,-103.6,270,top
R68,1.5k,R_0402_1005Metric,136.5,-125.6,0,top
R69,1.5k,R_0402_1005Metric,136.5,-124.6,0,top
R70,10k,R_0402_1005Metric,179.3,-109.6,180,top
R71,10k,R_0402_1005Metric,166.2,-113.7,90,top
R73,100k,R_0402_1005Metric,119.2,-125.7,270,top
R79,10k,R_0402_1005Metric,122.4,-125.7,90,top
R80,1.5k,R_0402_1005Metric,114.1,-120.4,90,top
R81,1.5k,R_0402_1005Metric,111.5,-121.9,180,top
R82,100k,R_0402_1005Metric,113.6,-118.9,0,top
R83,100k,R_0402_1005Metric,111,-120.4,270,top
R84,100k,R_0402_1005Metric,120,-116.25,180,top
R85,10k,R_0402_1005Metric,123.95,-114.35,180,top
R86,0,R_0805_2012Metric,194.4,-113.2,180,top
R87,0,R_0805_2012Metric,194.4,-115.2,180,top
R88,10k,R_0402_1005Metric,184.1,-103.3,90,top
R89,10k,R_0402_1005Metric,160.1,-108.3,45,top
R90,10k,R_0402_1005Metric,186.7,-113.51,90,top
R91,10k,R_0402_1005Metric,159.3,-107.5,225,top
R92,560,R_0402_1005Metric,148.2,-104.3,180,top
R93,560,R_0402_1005Metric,205.3,-99,180,top
R94,560,R_0402_1005Metric,205.3,-101,180,top
R95,560,R_0402_1005Metric,205.3,-103,180,top
R96,10k,R_0402_1005Metric,154.2,-123.6,270,top
R97,10k,R_0402_1005Metric,155.4,-123.6,270,top
R98,10k,R_0402_1005Metric,182.2,-106.4,180,top
R99,10k,R_0402_1005Metric,139.2,-103.6,270,top
R100,10k,R_0402_1005Metric,188.3,-119.6,0,top
R101,560,R_0402_1005Metric,188.4,-128.8,0,top
SW13,Key_User,SW_SPST_PTS810,132,-84,90,top
SW15,Key_nRESET,SW_SPST_PTS810,139.3,-113.6,90,top
SW17,Key_nBOOT,SW_SPST_PTS810,125,-84,90,top
U1,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,175.9,-99,180,top
U2,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,154,-99,180,top
U3,74HC165,SOIC-16_3.9x9.9mm_P1.27mm,131,-98.4,270,top
U4,AT25SF081,SOIC-8_3.9x4.9mm_P1.27mm,139.3,-107.4,270,top
U5,AT24C256,SOIC-8_3.9x4.9mm_P1.27mm,140.3,-125.7,0,top
U7,TP4056,TP4056_SOP-8-PP,120.8,-121.7,90,top
U8,AMS1117-3.3,SOT-223-3_TabPin2,130.2,-113.85,180,top
U11,74HC595,SO-16_3.9x9.9mm_P1.27mm,188.4,-107.1,90,top
U13,STM32F446RETx,LQFP-64_10x10mm_P0.5mm,154.8,-114.4,45,top
U14,RN4871,Microchip_RN4871,194.9,-121,180,top
Y1,8MHz Crystal,Crystal_SMD_5032-2Pin_5.0x3.2mm,155,-127.4,0,top
